Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1990-01-02,7.9066,7.9066,7.9066,7.9041,7.89,7.8084,7.8721,7.9038,7.8681,8.0049,7.9429,7.9861,8.0812
1990-01-03,7.9678,7.9678,7.9678,7.9632,7.94,7.8482,7.9433,7.9638,7.9167,8.0665,7.9902,8.027,8.108
1990-01-04,7.9168,7.9168,7.9168,7.9142,7.9,7.8184,7.9238,7.9333,7.9092,8.0459,7.9834,8.0267,8.122
1990-01-05,7.8659,7.8659,7.8659,7.8633,7.85,7.7888,7.9046,7.9463,7.921,8.0572,7.9943,8.0449,8.1562
1990-01-08,7.8659,7.8659,7.8659,7.8695,7.88,7.8086,7.9036,7.9565,7.9197,8.0812,8.0307,8.0796,8.1873
1990-01-09,7.8761,7.8761,7.8761,7.8637,7.82,7.7792,7.9157,7.9462,7.9209,8.0821,8.0313,8.0876,8.2116
1990-01-10,7.8251,7.8251,7.8251,7.8141,7.78,7.7698,7.9165,7.9576,7.9203,8.0198,8.0543,8.1302,8.1932
1990-01-11,7.8761,7.8761,7.8761,7.8582,7.8,7.7694,7.9163,7.9574,7.943,8.0294,8.064,8.1302,8.182
1990-01-12,7.8149,7.8149,7.8149,7.8142,7.81,7.759,7.9375,7.9891,7.9969,8.0946,8.1278,8.1926,8.2439
1990-01-16,7.9678,7.9678,7.9678,7.9736,7.99,7.9186,8.1079,8.1377,8.1117,8.1987,8.2202,8.2662,8.304
1990-01-17,8.0494,8.0494,8.0494,8.0321,7.97,7.9088,8.0979,8.1169,8.1141,8.1879,8.2097,8.2657,8.3154
1990-01-18,8.1208,8.1208,8.1208,8.1119,8.08,8.0494,8.2594,8.2888,8.2738,8.3228,8.3326,8.3595,8.384
1990-01-19,8.08,8.08,8.08,8.0626,8.01,7.9998,8.2095,8.2389,8.2009,8.2508,8.2747,8.3027,8.3212
1990-01-22,8.0698,8.0698,8.0698,8.0498,7.99,7.9798,8.1894,8.2079,8.1933,8.2675,8.2894,8.326,8.3531
1990-01-23,8.0086,8.0086,8.0086,7.9986,7.97,7.97,8.19,8.2083,8.1821,8.2442,8.2806,8.3067,8.3218
1990-01-24,8.0086,8.0086,8.0086,8.0038,7.99,8.0002,8.2099,8.3043,8.287,8.3606,8.4089,8.4319,8.4442
1990-01-25,8.029,8.029,8.029,8.0241,8.01,8.0304,8.2504,8.3338,8.3167,8.4155,8.4488,8.4831,8.5048
1990-01-26,8.0086,8.0086,8.0086,8.0152,8.04,8.0706,8.2905,8.3957,8.3893,8.4751,8.5225,8.5789,8.6163
1990-01-29,8.08,8.08,8.08,8.0826,8.09,8.0798,8.3109,8.4051,8.399,8.4724,8.5342,8.5673,8.5855
1990-01-30,8.08,8.08,8.08,8.0956,8.14,8.089,8.31,8.4046,8.4446,8.4906,8.5394,8.5744,8.5947
1990-01-31,8.08,8.08,8.08,8.093,8.13,8.079,8.2895,8.3732,8.3564,8.4051,8.4553,8.4801,8.4935
1990-02-01,8.1004,8.1004,8.1004,8.1081,8.13,8.0892,8.289,8.362,8.3572,8.3931,8.4439,8.4572,8.4639
1990-02-02,8.1514,8.1514,8.1514,8.1562,8.17,8.1292,8.3815,8.4429,8.4262,8.4751,8.5252,8.5256,8.5259
1990-02-05,8.1616,8.1616,8.1616,8.1664,8.18,8.1494,8.3807,8.4423,8.4488,8.497,8.5604,8.5513,8.5314
1990-02-06,8.1718,8.1718,8.1718,8.1716,8.17,8.1496,8.4329,8.4395,8.5051,8.5384,8.6018,8.6001,8.5965
1990-02-07,8.1616,8.1616,8.1616,8.169,8.19,8.1696,8.432,8.4389,8.5276,8.5474,8.5282,8.5651,8.6463
1990-02-08,8.1616,8.1616,8.1616,8.1664,8.18,8.129,8.3812,8.3992,8.4646,8.4978,8.5061,8.5108,8.5133
1990-02-09,8.1004,8.1004,8.1004,8.0989,8.09,8.0288,8.2598,8.2456,8.3013,8.3601,8.3125,8.3501,8.4328
1990-02-12,8.0698,8.0698,8.0698,8.0802,8.11,8.059,8.3319,8.3279,8.3827,8.4287,8.4092,8.4296,8.4746
1990-02-13,7.9168,7.9168,7.9168,7.9306,7.97,7.9496,8.2221,8.218,8.3075,8.3894,8.3666,8.3925,8.4493
1990-02-14,7.9474,7.9474,7.9474,7.9593,8.0,8.0306,8.2814,8.2776,8.3553,8.3756,8.3709,8.4062,8.4841
1990-02-15,8.0494,8.0494,8.0494,8.0558,8.08,8.1106,8.3615,8.3576,8.4126,8.4587,8.4391,8.4675,8.5299
1990-02-16,8.0188,8.0188,8.0188,8.0308,8.07,8.0904,8.3729,8.3468,8.4249,8.4454,8.4268,8.4558,8.5196
1990-02-20,8.1412,8.1412,8.1412,8.1542,8.2,8.2408,8.5337,8.5291,8.5953,8.6534,8.6323,8.6604,8.7223
1990-02-21,8.0902,8.0902,8.0902,8.1141,8.19,8.2206,8.5138,8.531,8.6189,8.6509,8.6305,8.6592,8.7222
1990-02-22,8.0698,8.0698,8.0698,8.0892,8.15,8.1704,8.4638,8.4918,8.487,8.5984,8.5479,8.5612,8.5905
1990-02-23,8.0086,8.0086,8.0086,8.0284,8.09,8.1104,8.4456,8.4622,8.4804,8.5905,8.5393,8.5601,8.6057
1990-02-26,8.0494,8.0494,8.0494,8.0593,8.09,8.1002,8.3936,8.4108,8.4064,8.5178,8.4676,8.4886,8.535
1990-02-27,8.0698,8.0698,8.0698,8.0776,8.1,8.0592,8.353,8.3487,8.3452,8.4567,8.4208,8.4486,8.5097
